case_group,addr1,addr2,is_match,quality,category,notes
same_entity_xds,"2221 30TH AVENUE, S, FARGO, ND 58103","2221 30th Ave S Fargo, ND 58103-5872",true,STRONG,punctuation_only,"Same street address, city, state; zip+4 extension is consistent. [us_hhs_exclusions/us_nd_med_exclusions]"
same_entity_xds,"Bldg. 9, Maysat Square, Al Rasafi St., P.O. Box 7155, Damascus, Syrian Arab Republic","P.O. Box 7155, Maysat Square, Al Rasafi Street Bldg. 9, Damascus, SYRIAN ARAB REPUBLIC",true,STRONG,punctuation_only,"Same components reordered, identical building, street, PO box, city. [au_dfat_sanctions/eu_fsf]"
same_entity_xds,"Российская Федерация, 107045, город Москва, вн.тер.г. муниципальный округ Мещанский, улица Трубная, дом 12, помещение 3/1","УЛ ТРУБНАЯ Д. 12, Г.МОСКВА, 107045",true,WEAK,subset,"A includes room number 3/1 not present in B, otherwise same address. [ru_cbr_banks/ext_ru_egrul]"
same_entity_xds,"Votkinskoe highway 170, Izhevsk, RUSSIAN FEDERATION","Российская Федерация, 426039, Удмуртская Республика, г. Ижевск, Воткинское шоссе, д. 170",true,STRONG,translit_cyrillic,"Same city, street, and house number; Russian vs English transliteration. [eu_fsf/ua_nsdc_sanctions]"
same_entity_xds,"82 Peremohy Ave, App. 343, Crimea, Simferopol, UKRAINE","prosp. Pobedy 82, kv. 343, Crimea, Simferopol",true,STRONG,translit_cyrillic,"Same address, transliterated street name and apartment number match. [eu_fsf/us_ofac_sdn]"
same_entity_xds,"910 Walters Rd Meridian, MS 39307","MERIDIAN, MS 39307",true,WEAK,subset,B omits street address but city/state/zip match A. [us_ms_med_exclusions/us_sam_exclusions]
same_entity_xds,"（a)Via Bertesi Number 27, Cremona, Italy （b)Via Plebiscito Number 3, Cremona, Italy","Via Plebiscito Number 3, Cremona, Italy",true,WEAK,subset,"A lists two addresses, one matching B exactly; other adds different site. [jp_mof_sanctions/un_sc_sanctions]"
same_entity_xds,1257 Siskiyou Blvd.,"3800 Highway 99 S, Ashland, OR 97520",false,STRONG,different_street,"Different street addresses in Ashland, OR. [ro_onpcsb_sanctions/bg_omnio_poi]"
same_entity_xds,"Golden Triangle Special Economic Zone, Laos","Room 2410, 24/F, Block Q, Kornhill, Quarry Bay",false,STRONG,different_city,"One is Laos economic zone, other Hong Kong apartment address. [gb_fcdo_sanctions/us_ofac_sdn]"
same_entity_xds,"2240 HUBBARD RD, #43686-039, YOUNGSTOWN, OH 44501","Madison Heights, MI",false,STRONG,different_city,"Youngstown, OH vs Madison Heights, MI are different cities/states. [us_hhs_exclusions/us_mi_med_exclusions]"
same_entity_xds,"Avenida Lazaro Cardenas Numero 730, Nahuatzen, Michoacan","Esquina de Ignacio Allende Numero y Lazaro Cardenas Norte Numero 500, Nueva Italia, Michoacan",false,STRONG,different_city,Different towns (Nahuatzen vs Nueva Italia) and different house numbers. [us_sam_exclusions/us_ofac_sdn]
same_entity_xds,"681000, Khabarovsk region, Komsomolsk-Na-Amure, Toser Komsomolsk - Ploshchadka Parus","КОМСОМОЛЬСК-НА-АМУРЕ, ХАБАРОВСКИЙ КРАЙ, 681000",true,WEAK,subset,"B only gives city/region/postcode, A adds specific site detail without conflict. [ua_war_sanctions/ext_ru_egrul]"
same_entity_xds,"East London, UK","East London, UNITED KINGDOM",true,STRONG,punctuation_only,"Same city and country, only abbreviation difference in country name. [au_dfat_sanctions/eu_travel_bans]"
same_entity_xds,"Vasi Alexeeva 14, St. Petersburg, RUSSIAN FEDERATION","УЛ ВАСИ АЛЕКСЕЕВА Д. 14 ЛИТЕРА А, Г.САНКТ-ПЕТЕРБУРГ, 198188",true,WEAK,subset,"Same street name and house number, transliterated Russian address. [eu_fsf/ext_ru_egrul]"
same_entity_xds,"al Abbas Street, Karbala","Al-Abbas Street, Karbala, Iraq",true,STRONG,punctuation_only,"Same street and city, just formatting differences and added country. [us_ofac_sdn/id_dttot]"
same_entity_xds,"P.O. Box 196365-1114, Tehran, No 14 (alt. 5), Shabnam Alley, Fajr Street, Shahid Motahhari Avenue, Iran","TEHRAN, UNIT 5, 9TH STREET 2, AHMAD GHASIR AVENUE, PO BOX 19635-1114",false,MEDIUM,different_street,Different avenues and streets listed (Ahmad Ghasir vs Shahid Motahhari) despite similar PO box. [ch_seco_sanctions/us_sam_exclusions]
same_entity_xds,"125319, Російська Федерація, м. Москва, вул. 4-а 8 Березня, буд. 3","3 8 Marta 4th Street, Moscow, Russia, 123557.",false,MEDIUM,different_city,Different postal codes (125319 vs 123557) indicate different locations. [ua_nsdc_sanctions/jp_meti_ru]
