"value","original_value","count"
"fr","Q142",130636
"us","Q30",69454
"es","Q29",16289
"fi","Q33",14625
"br","Q155",14272
"cn","Q148",13462
"de","Q183",11533
"gb","Q145",10824
"in","Q668",10652
"ru","Q159",8474
"ca","Q16",6840
"suhh","Q15180",6419
"it","Q38",6282
"mx","Q96",5912
"ng","Q1033",5381
"au","Q408",5007
"pk","Q843",4250
"jp","Q17",3802
"tr","Q43",3722
"at","Q40",3432
"pl","Q36",3299
"ua","Q212",3251
"ro","Q218",3077
"id","Q252",2958
"no","Q20",2910
"cz","Q213",2844
"tw","Q865",2753
"se","Q34",2710
"kr","Q884",2705
"nl","Q29999",2532
"be","Q31",2497
"cd","Q974",2192
"ch","Q39",2172
"ar","Q414",2070
"cshh","Q33946",2005
"bg","Q219",1979
"pt","Q45",1976
"lt","Q37",1912
"gr","Q41",1904
"hu","Q28",1894
"pe","Q419",1888
"dk","Q756617",1759
"ph","Q928",1699
"ir","Q794",1550
"my","Q833",1541
"cl","Q298",1481
"bd","Q902",1433
"vn","Q881",1383
"gh","Q117",1330
"mz","Q1029",1324
"nz","Q664",1320
"za","Q258",1304
"il","Q801",1266
"cm","Q1009",1259
"ie","Q27",1144
"ge","Q230",1086
"rs","Q403",1063
"dd","Q16957",1052
"ee","Q191",1033
"np","Q837",1028
"ao","Q916",988
"co","Q739",958
"by","Q184",894
"sm","Q238",891
"zw","Q954",888
"ma","Q1028",868
"ke","Q114",862
"yucs","Q83286",785
"tz","Q924",781
"ss","Q958",747
"ug","Q1036",727
"am","Q399",711
"eg","Q79",699
"tn","Q948",692
"sa","Q851",680
"kp","Q423",667
"si","Q215",666
"hr","Q224",658
"lv","Q211",658
"th","Q869",657
"md","Q217",655
"et","Q115",650
"ps","Q219060",647
"lk","Q854",646
"sk","Q214",638
"iq","Q796",636
"al","Q222",616
"ye","Q805",604
"mk","Q221",602
"ve","Q717",566
"ec","Q736",504
"af","Q889",496
"sg","Q334",491
"uy","Q77",489
"lb","Q822",483
"lu","Q32",474
"az","Q227",470
"cy","Q229",469
"gn","Q1006",392
"me","Q236",390
"td","Q657",384
"mm","Q836",382
"dz","Q262",380
"nl","Q55",376
"is","Q189",363
"ne","Q1032",360
"jo","Q810",359
"mw","Q1020",354
"tl","Q574",347
"sd","Q1049",343
"kz","Q232",327
"so","Q1045",326
"tt","Q754",308
"bo","Q750",308
"ml","Q912",304
"zm","Q953",303
"sy","Q858",301
"sn","Q1041",300
"hk","Q8646",292
"gm","Q1005",288
"ga","Q1000",285
"mg","Q1019",284
"qa","Qatar",278
"ht","Q790",274
"ba","Q225",272
"pg","Q691",266
"kw","Q817",260
"cg","Q971",258
"bz","Q242",253
"cu","Q241",252
"tg","Q945",242
"mt","Q233",237
"qa","QATAR",235
"mn","Q711",233
"ae","Q878",230
"sr","Q730",227
"hn","Q783",226
"ci","Q1008",217
"rw","Q1037",217
"tn","Q2017684",216
"kh","Q424",216
"bh","Q398",215
"na","Q1030",204
"gt","Q774",189
"li","Q347",188
"cr","Q800",187
"csxx","Q37024",186
"bj","Q962",183
"gq","Q983",180
"jm","Q766",178
